Job Title,Company,Location,Education,Experience,Deadline
"Executive, Front Desk, Madina Group, Chattogram Office.",Madina Group,Agrabad,"1 to 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 2 year(s),"
5 Sep 2023"
Techno Green Carbon Ltd.,We are seeking a dynamic and experienced Sales Executive with an Electrical and Electronic Engineering (EEE) background to drive sales of solar system panels. The ideal candidate should possess a deep understanding of solar technology.,Anywhere in Bangladesh,"At least 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 2 year(s),"
5 Sep 2023"
Training Manager,bdCalling IT Ltd,"Rampura, Banasree","1 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 3 year(s),"
5 Sep 2023"
Subawards Manager,Chemonics International,Dhaka,"7 to 10 year(s)
                                                        






 Deadline: 

4 Sep 2023",7 to 10 year(s),"
4 Sep 2023"
HR Specialist,Swisscontact Bangladesh,Dhaka,"At least 4 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 4 year(s),"
5 Sep 2023"
Manager - Fabric Marketing,Giant Group,Gazipur,Bachelor of Science (BSc) in Textile TechnologyBachelor of Commerce (BCom) in Marketing,10 to 12 year(s),"
5 Sep 2023"
Senior Executive/ Assistant Manager- Dyeing Monitoring (Sedomaster),100% Export Oriented Knit Composite Industry.,Gazipur,Bachelor of Science (BSc) in Textile Technology,8 to 10 year(s),"
5 Sep 2023"
Solution Architect/ Sr. Solution Architect Pre-Sales & Partner Management.,BRACNet Limited,Dhaka,BSC in CSE/EEE/ETE/ICT.,3 to 5 year(s),"
5 Sep 2023"
বিল্ডিং ম্যানেজার / কেয়ারটেকার,Fountain Garments,গুলশান ১,"3 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,o 5 year(s)
Motivator,Youngone,Anywhere in Bangladesh,Bachelor degree in any disciplineDegree Pass,Na,"
4 Sep 2023"
Customer Relation Executive,Walton Hi-Tech Industries PLC.,"Chattogram, Habiganj, Jashore, Khulna, Mymensingh, Patuakhali",Bachelor`s degree in any discipline.,0 to 3 year(s),"
5 Sep 2023"
Call Center Executive,Walton Hi-Tech Industries PLC.,Mirpur,Diploma in Engineering/Graduation in any discipline from any reputed institute.,0 to 3 year(s),"
5 Sep 2023"
Sales Executive (Tele Sales),Nitsol Bangladesh Ltd.,Banani,Graduate/ Diploma in any discipline.,1 to 2 year(s),"
4 Sep 2023"
"Secretary, Chancellery",University Of Liberal Arts Bangladesh,Dhaka,Graduate from any discipline from any reputed institution,At least 4 year(s),"
5 Sep 2023"
Assistant Manager / Manager (Sales & Marketing),Purbachal Smart City Ltd.,Banani,Minimum Graduate,3 to 7 year(s),"
4 Sep 2023"
Executive - Internal Audit,Mohammadi Group,Anywhere in Bangladesh,Bachelor of Commerce (BCom) in Accounting,2 to 3 year(s),"
5 Sep 2023"
DGM - Construction,DBL GROUP,Dhaka,"Bachelor of Science (BSc) in Civil EngineeringB.Sc. Engg. (Civil), from Public Universities will ...",At least 18 year(s),"
5 Sep 2023"
"Manager, Operations (SQ Celsius Limited)",SQ Group,Anywhere in Bangladesh,Bachelor degree in any discipline,At least 8 year(s),"
5 Sep 2023"
"Manager, QMS (SQ Celsius Limited)",SQ Group,Anywhere in Bangladesh,Masters degree in any discipline,At least 8 year(s),"
5 Sep 2023"
"Assistant Manager, Marketing & Merchandising (SQ Celsius Limited)",SQ Group,Anywhere in Bangladesh,Bachelor degree in any discipline,At least 5 year(s),"
5 Sep 2023"
Civic Engagement Specialist,JAAGO Foundation Trust,Dhaka,Bachelor degree in any discipline,2 to 3 year(s),"
5 Sep 2023"
Gender & Inclusion Specialist,JAAGO Foundation Trust,Dhaka,Master of Development Studies (MDS),10 to 14 year(s),"
5 Sep 2023"
Lecturer/Assistant Professor.,Chattogram BGMEA University of Fashion & Technology  (CBUFT),Chattogram Sadar,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Experienced UI UX Designer,Bitchip Digital,Uttara Sector 3,"At least 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 2 year(s),"
5 Sep 2023"
Asst Manager/Manager (Accounts & Finance),Group Reedisha,Tejgaon Industrial Area,"At least 8 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 8 year(s),"
4 Sep 2023"
Directional Driller/ Drilling Fluid Specialist Cross Train,Schlumberger SEACO Inc.,Dhaka,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
"Asst. Manager /Deputy Manager (Transport Management), Admin",BRACNet Limited,Dhaka,"Bachelor`s degree/ BBA/ MBA/ Masters in any relevant field from a reputed institution.
	B.Sc in ...",At least 5 year(s),"
5 Sep 2023"
Assistant Restaurant Manager,Dhaka Restaurant Concepts Ltd,Dhaka,Diploma in Hotel Management in Hospitality Management,2 to 5 year(s),"
5 Sep 2023"
Head of Plant Operations (Ready Mix Concrete),A Well Reputed Ready Mix Concrete Company,Dhaka,B. Sc in Civil/Mechanical Engineering,At least 15 year(s),"
5 Sep 2023"
Project Manager - Civil Engineering,A Well Reputed Real Estate Company,Dhaka,Bachelor of Science (B. Sc) in Civil Engineering,At least 12 year(s),"
5 Sep 2023"
Executive (Sales & Marketing),Million real estate and developers ltd,Dhaka,Bachelor of Commerce (Pass)Graduate in any discipline.,At least 3 year(s),"
5 Sep 2023"
Manager (Sales & Marketing),Million real estate and developers ltd,Dhaka,"Masters degree in any disciplineBachelor of Business Administration (BBA, MBA).
Minimum Bachelor ...",At least 5 year(s),"
5 Sep 2023"
শাখা ব্যবস্থাপক,উত্তরা ডেভেলপমেন্ট প্রোগ্রাম সোসাইটি (ইউডিপিএস),"চট্টগ্রাম, ঢাকা, রাজশাহী, রংপুর",নূন্যতম স্নাতক/ স্নাতকোত্তর,At least 2 year(s),"
5 Sep 2023"
ফিল্ড অফিসার,Uttara Development Program Society (UDPS),বাংলাদেশের যেকোনো স্থানে,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
Head of Customer Relations Department,A Well Reputed Real Estate Company,Dhaka,Bachelor of Science (BSc) in Civil Engineering,At least 15 year(s),"
5 Sep 2023"
DR. M.A. RAHIM INTERNATIONAL SCHOOL,Barishal,"Art Teacher (Preferably any degree in Art)
Arabic Language Teacher (Preferably Degree in Arabic ...",At least 5 year(s),null,t 5 year(s)
DR. M.A. RAHIM INTERNATIONAL SCHOOL,Barishal,Master`s in any subject.,At least 5 year(s),null,t 5 year(s)
"Manager, Human Resources",Sumash Tech Limited,PanthaPath,"5 to 9 year(s)
                                                        






 Deadline: 

5 Sep 2023",5 to 9 year(s),"
5 Sep 2023"
Prefix Fashions Limited,Gazipur,Diploma/HSC/A-Level/SSC/O-Level/Equivalent (Educational qualification may be relaxed in case of ...,6 to 8 year(s),null,o 8 year(s)
"Counsellor/Senior Counsellor - Canada, Australia, USA & UK",Study Solutions,Sylhet Sadar,"At least 1 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 1 year(s),"
5 Sep 2023"
Group of Company,Dhaka,Bachelor degree in any discipline,2 to 6 year(s),null,o 6 year(s)
Field Animator,PARI Development Trust,Bakshiganj,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Program Officer - Livelihood,PARI Development Trust,Bakshiganj,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Program Officer - Protection,PARI Development Trust,Bakshiganj,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Program Officer - Health,PARI Development Trust,Bakshiganj,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Associate Professor,Atish Dipankar University of Science and Technology,Uttara,PhD or equivalent degree with at least 2 (two) 1st class/division/Grade A. At least 1 (one) 1st ...,At least 7 year(s),"
5 Sep 2023"
Assistant Professor,Atish Dipankar University of Science and Technology,Uttara,PhD or equivalent degree with at least 2 (two) 1st class/division/Grade A. At least 1 (one) 1st ...,At least 3 year(s),"
5 Sep 2023"
Lecturer,Atish Dipankar University of Science and Technology,Uttara,4-years Bachelor degree with Master`s. At least 3 (three) 1st class/division/Grade A but For ...,Na,"
5 Sep 2023"
Manager/ Sr. Manager- Admin & HR,Fountain Garments,Savar,"Master of Business Management (MBM)/ Masters of English.
	PGD PM/ PGDHRM/ MBA in HRM/LLB/LLM ...",8 to 10 year(s),"
5 Sep 2023"
Sr. Staff Nurse/ Staff Nurse,Asgar Ali Hospital (A Concern of City Group),Dhaka,Diploma in Nursing in Science and MidwiferyBSc in Nursing Science and Midwifery,2 to 5 year(s),"
5 Sep 2023"
AGM-Knit Fabrics Finishing,Norban Comtex Limited,Kashimpur,Minimum Graduation in any discipline (Educational qualification may be relaxed for experienced ...,At least 15 year(s),"
5 Sep 2023"
DPA (Designated Person Ashore)/ CSO (Company Security Officer),Meghna Group of Industries.,Chattogram,Master Mariner; Holding Class-I COC from recognized authority.,At least 15 year(s),"
5 Sep 2023"
Counselor & Visa Consultant,M/S R.S OVERSEAS INTERNATIONAL LTD,Purana Paltan,Masters degree in any disciplineBachelor degree in any discipline,0 to 1 year(s),"
5 Sep 2023"
Sr. Officer - IE,Giant Group,Gazipur,Bachelor of Science (BSc) in TextileMaster of Science (MSc) in Textile EngineeringBachelor of ...,3 to 5 year(s),"
5 Sep 2023"
Accounts Officer,Hanoch Hook & Eye Fastener(BD) Co. Ltd.,Cumilla Adarsha Sadar,Bachelor of Business Studies (BBS) in AccountingBachelor of Business Administration (BBA) in ...,At least 2 year(s),"
5 Sep 2023"
Manager - Industrial Engineering & Planning,Giant Group,Gazipur,Bachelor of Science (BSc) in Industrial and production engineeringBachelor of Science (BSc) in ...,7 to 10 year(s),"
5 Sep 2023"
Restaurant Manager,HANDI RESTAURANT,Cox's Bazar,Bachelor degree in any discipline,8 to 10 year(s),"
5 Sep 2023"
Production Manager,Reputed  Garment Accessories Company,Narayanganj,Bachelor of Arts (BA)Bachelor degree in any discipline,8 to 10 year(s),"
5 Sep 2023"
Technical Manager,Lakshmi Machine Works,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

4 Sep 2023",null,t 5 year(s)
