Job Title,Company,Location,Education,Experience,Deadline
Medical Support Officer,SMC Enterprise Ltd.,Bhaluka,3 years Diploma in Nursing/Medical Assistant or equivalent degree,At least 2 year(s),31 Aug 2023
"Senior Officer, Product Development",SMC Enterprise Ltd.,Bhaluka,"Master of Pharmacy (M.Pharm)Master of Science (MSc) in Biochemistry, Applied Chemistry, Chemistry",At least 3 year(s),31 Aug 2023
Executive / Senior Executive,Navana Logistics Ltd.,Anywhere in Bangladesh,Bachelor degree in any discipline,1 to 3 year(s),31 Aug 2023
Medical Officer Female (Sonologist),ALIF HOSPITAL,Ukhia,Bachelor of Medicine and Bachelor of Surgery(MBBS) in SONOLOGOST,At least 2 year(s),31 Aug 2023
Manager (Merchandising),Euro Style Sourcing Bd,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
"Executive, Public Relations",American International University-Bangladesh (AIUB),Dhaka,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
Trade Service Officer,ICB Islamic Bank Ltd.,Dhaka,Masters degree in any disciplineCompletion of Banking Diploma will be preferable.,At least 5 year(s),31 Aug 2023
Sr. Officer - Compliance,Alim Knit (BD) Ltd. (Mondol Group),Gazipur,"Bachelor of Business Administration (BBA)Masters/MBA
PGD in compliance will be preferable.",At least 2 year(s),31 Aug 2023
Merchandising Manager,Europtex Fashion Limited,Anywhere in Bangladesh,Masters degree in any discipline,At least 8 year(s),31 Aug 2023
Sales Executive - ANW Associates Ltd (Brokerage Firm),NASSA GROUP,Dhaka,"Bachelor`s degree in Business, Finance, Economics, or a related field.",2 to 4 year(s),"
1 Sep 2023"
Manager - Brand and Marketing,Karnaphuli Group,Dhaka,"MBA & BBA Major in Marketing.
Preferably from IBA (DU), IBA (JU), NSU, DU, BRAC, BUP, EWU, IUB ...",5 to 8 year(s),31 Aug 2023
Associate Professor/ Assistant Professor,Northern University Bangladesh,Dhaka,Masters degree in any discipline,At least 8 year(s),31 Aug 2023
UI/UX Software Designer,Continental Technologies (BD) Limited,"Dhaka, Narayanganj","Bachelor of Computer Application (BCA)Human-Computer Interaction (HCI), or a related field. ...",3 to 4 year(s),31 Aug 2023
General Manager - Merchandising (Decathlon),NASSA GROUP,Dhaka,"Bachelor of Science (B.Sc) in Textile Engineering, Master of Business Administration (MBA) in ...",At least 20 year(s),31 Aug 2023
Freelancer with Digital Marketing,IT Solution Institute,Savar,Bachelor degree in any discipline,1 to 5 year(s),31 Aug 2023
Executive Mechanical (Engineering & Maintenance),Comfit Composite Knit Ltd.,Mirzapur,"0 to 1 year(s)
                                                        






 Deadline: 

31 Aug 2023",0 to 1 year(s),31 Aug 2023
Clinical Speech & Language Therapist,Smiling Children Special School (SCSS),Badda,Bachelor of Science (BSc) in Speech and Language Therapy,2 to 5 year(s),31 Aug 2023
Vat & Tax Officer,AGROVERSE LIMITED,Gazipur,Bachelor of Business Administration (BBA)	BBA/BBS/Honors/MBA/Masters from any reputed ...,3 to 5 year(s),31 Aug 2023
Communications Manager,Chemonics International INC,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Operations Assistant,Chemonics International INC,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Procurement and Logistics Manager,Chemonics International INC,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Accountant,Chemonics International INC,Dhaka,"At least 4 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 4 year(s),31 Aug 2023
Bookkeeper,Chemonics International INC,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
Human Resources/Administrative Assistant,Chemonics International INC,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
Government Liaison Advisor,Chemonics International INC,Dhaka,"At least 4 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 4 year(s),31 Aug 2023
Gender Equality and Social Inclusion (GESI) Advisor,Chemonics International INC,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Information and Communications Technology (ICT)/Blended Learning Advisor,Chemonics International INC,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
"Sr. Executive/ Executive - Formulation Development, R&D",DBL Pharmaceuticals Ltd. (A concern of DBL Group),Gazipur,"1 to 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,o 5 year(s)
Executive-Accounts,Nahar Agro Group,Chattogram,"BBA/MBA, or Master`s in Accounting
CA (CC) / CMA (Partly Qualified)",1 to 3 year(s),31 Aug 2023
"Manager, Market Research & Development",Akij Bakers Ltd.,Dhaka,Masters degree in any discipline,At least 12 year(s),31 Aug 2023
Executive (Import / Logistics),New Asia Group,Dhaka,Master of Business Administration (MBA)Master of Commerce (MCom),At least 3 year(s),31 Aug 2023
Graphics Designer,New Dubai Borka House,"Dhaka, Dhaka Sadar",Bachelor degree in any discipline,0 to 2 year(s),31 Aug 2023
Technical Manager (Pattern & Sample Development),Gears Group,Gazipur,"Minimum Graduate in Fashion Technology.
Educational qualification may be relaxed for the highly ...",7 to 8 year(s),31 Aug 2023
"Manager- Fashion, Lifestyle & Home Decor",Ananta Group,Dhaka,"Bachelor`s degree in Fashion, Marketing, Business, or a related field (or equivalent degree) in any ...",4 to 7 year(s),31 Aug 2023
Accountant/Financial Analyst,Reliance Assets & Developments Ltd.,"Chattogram, Chattogram Sadar, Agrabad",Master of Business Administration (MBA) in Accounting,At least 3 year(s),31 Aug 2023
"Manager, Vegetable Research (BRAC Seed and Agro Enterprise)",BRAC Enterprises,Gazipur Sadar,The candidate should have Master of Science in Genetics and Pant Breeding from any government ...,At least 8 year(s),31 Aug 2023
"MTO, Marketing & Branding for Lubricant Sales",Karnaphuli Group,Dhaka,Graduation on Marketing/Business Studies.,1 to 2 year(s),31 Aug 2023
Senior Merchandiser,Cotton Field (BD) Ltd. (A Sister Concern Of Mondol Group),Gazipur,Minimum BSC,4 to 5 year(s),31 Aug 2023
Asst. Manager (Marketing & Merchandising),Cotton Field (BD) Ltd. (A Sister Concern Of Mondol Group),Gazipur,Minimum BSC,6 to 7 year(s),31 Aug 2023
"শিক্ষক (ইংরেজি,গণিত ও বিজ্ঞান)",kabbo Academy,বনশ্রী,"এইচ এস সি, অনার্স ইংরেজি,গণিত ও বিজ্ঞান বিষয়ে অধ্যনরত",0 to 1 year(s),31 Aug 2023
Innovation Fund Manager,Chemonics International INC,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Innovation Fund Assistant,Chemonics International INC,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
Materials Development Manager,Chemonics International INC,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Medical Information Officer (MIO),Abul Khair Group,"Brahmanbaria, Dhaka, Faridpur, Habiganj, Noakhali, Sylhet","At least 1 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 1 year(s),31 Aug 2023
সিকিউরিটি গার্ড,Chittagong Diabetic General Hospital.,চট্টগ্রাম,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
Manager - Industrial Engineering,Crystal Martin Apparel Bangladesh Limited,Bhaluka,Bachelor of Science (BSc) in Engineering,At least 8 year(s),31 Aug 2023
"Senior Officer, Industrial Engineering (Costing & Thread Consumption)",Crystal Martin Apparel Bangladesh Limited,Bhaluka,Bachelor of Science (BSc) in Engineering,At least 5 year(s),31 Aug 2023
IT Associate,Catalyst Solutions (Sister Organization of Adiva Graphics),Chattogram,Minimum Bachelor`s degree in CSE/ IT/ ETE relevant subject from any reputed university.,At least 1 year(s),31 Aug 2023
Executive - Purchase & Procurement,Green Genesis Engineering Limited,Anywhere in Bangladesh,Bachelor degree in any discipline in AnyMinimum Bachelor/Graduate from any Public University,At least 1 year(s),31 Aug 2023
IELTS Trainer/ Instructor,British American Resource Center,"Mirpur, Uttara",Bachelor degree in any disciplineMinimum overall band score 7 in IELTS; no less than 6.5 in any ...,At least 2 year(s),31 Aug 2023
Merchandiser,Cotton Field (BD) Ltd. (A Sister concern of Mondol Group),Gazipur,Minimum BSC,2 to 3 year(s),31 Aug 2023
Executive/ Sr. Executive - Supply Chain Management,A Reputed Garments Industry,Narayanganj,Master of Business Administration (MBA) in Supply Chain Management or Accounting from any reputed ...,3 to 5 year(s),31 Aug 2023
Education Counselor,UniApply,Uttara Sector 3,Bachelor degree in any discipline.,1 to 2 year(s),31 Aug 2023
Lecturer/ Asst. Professor,BSB Cambrian Education Group,Chattogram,Masters of relevant subjects ...,1 to 5 year(s),31 Aug 2023
System and Support Engineer - IT Department,Guardian Life Insurance Limited,Dhaka,Bachelor of Science (BSc) in Computer Science Engineering,At least 3 year(s),31 Aug 2023
Site Architect Supervisor/ Engineer,DBL GROUP,Gazipur,Bachelor of Architecture (B.Arch)Diploma in Architecture,At least 10 year(s),31 Aug 2023
Sales Executive for UPS Product,Libra Computer Aid,Dhaka,Graduation/Diploma in Electrical & Electronics Engineering from a recognized university,2 to 3 year(s),31 Aug 2023
Sales Executive,Libra Computer Aid,Dhaka,Bachelor of Science (BSc),2 to 3 year(s),31 Aug 2023
"Manager/ Sr. Manager - Quality Control, Construction",DBL GROUP,Dhaka,Bachelor of Science (BSc) in Civil EngineeringPreferably from Public University,11 to 15 year(s),31 Aug 2023
Territory Officer (Night Shift),XZone IT Park Private Limited,Kuril,Bachelor degree in any discipline,At least 2 year(s),31 Aug 2023
Development Officer,Eastern Insurance Company Ltd.,Dhaka,"1 to 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",1 to 2 year(s),31 Aug 2023
সেলসম্যান (ফার্মেসী)/ ফার্মেসী সহকারী,Chittagong Diabetic General Hospital.,চট্টগ্রাম,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
Manager - Student Connect,Universal College Bangladesh,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
MEL Research Specialist,Chemonics International INC,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
MEL Manager,Chemonics International INC,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Electrical Engineer,Unimass Holdings Ltd,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
"Pacific Sea BPO Services, Inc.",Philippines,Bachelor degree in any discipline,At least 1 year(s),null,t 1 year(s)
প্রভাষক (ফিন্যান্স ও ব্যাংকিং),Shaheed Bir Uttam Lt Anwar Girls` College,ঢাকা সদর,ফিন্যান্স ও ব্যাংকিং এ অনার্সসহ মাষ্টার্স ডিগ্রীধারী,Na,31 Aug 2023
Head of Accounts & Finance (must have working experience in Garments Factories),LIZ Fashion Industry Ltd. (Bhaluka Unit),Bhaluka,Master of Commerce (MCom)MBA/ Masters in Accounting or Finance from a reputed public/private ...,At least 10 year(s),31 Aug 2023
Head of Accounts & Finance (must have working experience in Garments Factories),LIZ Fashion Industry Ltd. (Bhaluka Unit),Bhaluka,Master of Commerce (MCom)MBA/ Masters in Accounting or Finance from a reputed public/private ...,10 to 15 year(s),31 Aug 2023
AGM - Construction (Sylhet),DBL GROUP,Sylhet,Bachelor of Science (BSc) in Civil EngineeringB.Sc in Civil Engineering from any Public University ...,At least 15 year(s),31 Aug 2023
Executive / Sr. Executive (HR & Compliance) - RGR Sweater Ltd.,RGR Sweater Ltd.,Sreepur,"Candidates must have completed Bachelor/Masters in HRM from any reputed university
PGD in ...",3 to 5 year(s),31 Aug 2023
Senior Officer/ Assistant Manager - Legal,Sajeeb Group,Dhaka,Bachelor of Law (LLB),6 to 8 year(s),31 Aug 2023
Accounts Officer,Oxford International School,Dhaka,Bachelor of Commerce (BCom) in Accounting & Information SystemMaster of Commerce (MCom) in ...,At least 2 year(s),31 Aug 2023
Program Organizer 3 (Re-advisement),Voluntary Association for Rural Development (VARD),"Sunamganj, Sylhet","Bachelor Degree. At least 1-year experience especially community mobilization, patient dealing, ...",At least 1 year(s),31 Aug 2023
Programmer (Laravel & Vue.js),Syntech Solution Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science,3 to 5 year(s),31 Aug 2023
"Junior Executive, PMD",The White Horse Pharmaceuticals,Anywhere in Bangladesh,Bachelor of Pharmacy (B.Pharm)B.Pharm/ M.Pharm from a well recognized University.,At least 1 year(s),31 Aug 2023
Customer Care officer,One of the leading Group of Companies,Dhaka,Bachelor Degree in any Discipline,At least 2 year(s),31 Aug 2023
AGM-Compliance & Administration,A Leading Garments Manufacturing Company.,Savar,Masters degree in any discipline,At most 15 year(s),31 Aug 2023
GM-Technical,Reputed Garments Manufacturing Company,Savar,Masters degree in any discipline,At most 15 year(s),31 Aug 2023
Reservation & Ticketing Executive,AL AMIN TOUR AND TEAVELS,Bhanga,Bachelor degree in any discipline,2 to 3 year(s),31 Aug 2023
Visa Consultant Executive,Al Amin Tour & Travels,Bhanga,Bachelor degree in any discipline,2 to 4 year(s),31 Aug 2023
Sr. SQA Engineer/ Security Analyst,Informatik Lab,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
General Manager (Operation),Sharif Pharmaceuticals Limited,Dhaka,"15 to 20 year(s)
                                                        






 Deadline: 

31 Aug 2023",15 to 20 year(s),31 Aug 2023
Manager (QA),Sharif Pharmaceuticals Limited,Dhaka,"10 to 15 year(s)
                                                        






 Deadline: 

31 Aug 2023",10 to 15 year(s),31 Aug 2023
Senior Business Developer,Kaicom Solutions,Anywhere in Bangladesh,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Senior Mobile APP Developer.,Kaicom Solutions,Anywhere in Bangladesh,At least 4 year(s),null,t 4 year(s)
Business Analyst,Syntech Solution Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer ScienceCSE Graduates from any Reputed University is highly ...,3 to 5 year(s),31 Aug 2023
HR Manager,NFM Industries,Narayanganj,Masters degree in any discipline,At least 2 year(s),31 Aug 2023
Executive/ Sr. Executive - HR & Admin,Mohammadi Group,Anywhere in Bangladesh,Master of Business Administration (MBA) in Human Resource ManagementMinimum graduation in HRM from ...,3 to 5 year(s),31 Aug 2023
Junior Accountant,Neezer Bari Design & Construction,Lalmatia,Bachelor of Business Administration (BBA) in AccountingBachelor`s degree in Accounting or a ...,Na,31 Aug 2023
Compliance Officer,Infinity Global Partners,Anywhere in Bangladesh,Graduate or professional certificate in the relevant subjects.,At least 3 year(s),31 Aug 2023
QA Supervisor,Infinity Global Partners,Anywhere in Bangladesh,Graduate/professional degree in any subject.,At least 10 year(s),31 Aug 2023
"Section In-charge (R&I - Cable, Super Enamel Wire & Brass)",Walton Hi-Tech Industries PLC.,Kaliakair,B.Sc in Mechanical / Electrical / IPE Engineering from any reputed university.,At least 4 year(s),"
1 Sep 2023"
Pattern Master - Sample Section,NASSA GROUP,Dhaka,"Graduation from any reputed university.
Educational qualification may be relaxed for the ...",5 to 10 year(s),31 Aug 2023
Dy. Manager/ Manager - Accounts & Finance (for Manpower Recruitment),Unique Eastern (Pvt.) Ltd. (A concern of Unique Group),Badda,Master of Business Administration (MBA) in Accounting,4 to 6 year(s),31 Aug 2023
Medical Technologist (Lab),Shahabuddin Medical College & Hospital,Gulshan,Diploma in Medical Technology,At least 2 year(s),31 Aug 2023
Project Manager (BWDB Project),National Development Engineers Ltd. (NDE),Anywhere in Bangladesh,Bachelor in Engineering (BEngg) in Civil EngineeringDiploma in Engineering in Civil EngineeringAt ...,At least 10 year(s),31 Aug 2023
Student Counselor,Playpen School,Dhaka,Master of Science (MSc) in PsychologyMaster of Science (MSc) in Public HealthMaster of Science ...,1 to 5 year(s),31 Aug 2023
Deputy General Manager - Compliance,NASSA GROUP,Dhaka,"Bachelor`s/Master`s degree in HRM/ Law, or a related field (advanced degree preferred) in a reputed ...",At least 15 year(s),31 Aug 2023
General Manager - Administration,NASSA GROUP,Chattogram,"Bachelor`s/Master`s degree in Business Administration, Management, or a related field (advanced ...",20 to 25 year(s),31 Aug 2023
"AGM - Yarn Marketing (Polyester, CVC, PC, Tencel)",NASSA GROUP,Dhaka,"Bachelor`s/Master`s degree in Business, Marketing, or a related field (Master`s degree ...",12 to 15 year(s),31 Aug 2023
Lecturer,"Trust University, Barishal",Barishal Sadar,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
EMP - Executive Market Promotion,Medi-Chem International,Dhaka,Bachelor of Science (BSc)Master of Science (MSc),Na,31 Aug 2023
Officer (Cash) - Finance & Accounts Division,Bangladesh Specialized Hospital Ltd.,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
A Well Reputed Bearing Company,Anywhere in Bangladesh,Bachelor degree in any disciplineBachelor of Business Administration (BBA) in salesBachelor ...,5 to 8 year(s),null,o 8 year(s)
A Well Reputed Bearing Company,Old Dhaka,Bachelor degree in any disciplineMasters degree in any discipline,13 to 15 year(s),null, 15 year(s)
Field Supervisor - Agriculturist,Eudika Technologies Ltd,Anywhere in Bangladesh,Bachelor of Science (BSc) in Agriculture,At least 5 year(s),31 Aug 2023
Application Support Officer,"C.P. Bangladesh Co., Ltd.",Anywhere in Bangladesh,"BBA/MBA in Management, Accounting, Finance & Banking, MIS",0 to 1 year(s),31 Aug 2023
Printer Technician Engineer,JN Computer,Anywhere in Bangladesh,Diploma in Engineering,1 to 3 year(s),31 Aug 2023
Product Development Officer,Apollo Pharmaceuticals Ltd.,Mirpur,Bachelor of Pharmacy (B.Pharm)Bachelor of Science (BSc) in ChemistryBachelor of Science (BSc) in ...,Na,31 Aug 2023
Sales Associate,Green Dot Limited,Anywhere in Bangladesh,Requesting to apply to Graduate from a government institute only.,At least 1 year(s),31 Aug 2023
Asst. Manager - Legal,AG Property Developments Ltd (A Concern of AHSAN Group),Mohakhali,Master of Law (LLM),At least 10 year(s),31 Aug 2023
Physical Education (PE) Teacher,International School Dhaka,Dhaka,Bachelor of Physical Education (BPEd),At least 5 year(s),31 Aug 2023
Assistant Manager/ Deputy Manager - Compliance,RFL Group,Anywhere in Bangladesh,B.Sc/M.Sc in any subject from a reputed university. PGD in Compliance will get preference.,At least 2 year(s),31 Aug 2023
Sales Officer - Laptop & IT Products (Retail),Walton Digi-Tech Industries Ltd.,Anywhere in Bangladesh,Diploma in Computer/Electronics Engineering or B.Sc in CSE/EEE from any reputed ...,Na,31 Aug 2023
Executive - Corporate Sales & Marketing,Cloth Bangladesh Limited,Dhaka,Bachelor degree in any disciplineMasters degree in any discipline,At least 1 year(s),31 Aug 2023
Manager - Food & Beverage,Christian Service Society (CSS),Khulna,"Post Graduate in Hospitality Management
Academic qualification will be relaxed for experienced ...",3 to 5 year(s),31 Aug 2023
Deputy General Manager,Barisal Electric Power Company Ltd.,Anywhere in Bangladesh,Bachelor degree in any disciplineMasters degree in any discipline,5 to 7 year(s),31 Aug 2023
A group of Companies,Anywhere in Bangladesh,HSC/ Equivalent,Na,null,Na
A group of Companies,Dhaka,BBA/ MBA/ Graduate from a reputed University with good academic record.,Na,null,Na
Territory Sales Manager,Airmate Lighting & Electrical Solutions (Pvt.) Limited,Anywhere in Bangladesh,"3 to 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",3 to 5 year(s),31 Aug 2023
Marketing Executive - Epyllion Food and Beverage Limited,Epyllion Group,Tejgaon,"At least 4 year(s)
                                                        






 Deadline: 

1 Sep 2023",At least 4 year(s),"
1 Sep 2023"
নার্স,INSPIRE PROPERTIES LTD,গুলশান,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
Graphic Designer - Epyllion Food and Beverage Limited,Epyllion Group,Tejgaon,"At least 4 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 4 year(s),31 Aug 2023
Professional Translator (English to Bengali),Truvalu.enterprises Limited,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
Security In-charge (Admin) - For Narayanganj Factory,Epyllion Group,Narayanganj,"At least 8 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 8 year(s),31 Aug 2023
সহকারি শিক্ষক,আজগরী বেগম দারুল উলূম মাদ্রাসা,চানখারপুল,"1 to 5 year(s)
                                                        






 Deadline: 

1 Sep 2023",null,o 5 year(s)
"Executive / Senior Executive, Loom Operation (Weaving)",Denim Manufacturing Factory,Bhaluka,Bachelor of Science (BSc) in Textile Engineering,At least 2 year(s),31 Aug 2023
General Manager,Empire Group,Dhaka,Post Graduation/ MBA,At least 15 year(s),31 Aug 2023
Sales Representative,Imaa Corporation,Anywhere in Bangladesh,HSC,1 to 2 year(s),31 Aug 2023
Sr. Graphics Designer,Green Dot Limited,Dhaka,"Bachelor`s degree in any discipline
Diploma in Computer in Graphics Design.",At least 3 year(s),31 Aug 2023
"Inside Sales Executive, Microsoft Team",Smart Technologies (BD) Ltd.,Dhaka,Bachelor degree in any discipline,1 to 2 year(s),31 Aug 2023
Assistant General Manager/Senior Manager-HR,Virgo Group,Dhaka,"Master of Business Administration (MBA) in Human Resources Management, Business Administration or ...",At least 10 year(s),31 Aug 2023
Asst. Manager/ Deputy Manager (Compliance),GSL Export  Limited,Chattogram,"MBA /Masters in any discipline from any reputed university.
PGDHRM will be given preference.",5 to 7 year(s),31 Aug 2023
Director of Loss Prevention,Renaissance Dhaka Gulshan Hotel RDGH,GULSHAN 1,Bachelor degree in any discipline,At least 8 year(s),"
1 Sep 2023"
Executive/ Sr. Executive - MIS,A 100% Export Oriented Garments Industry,"Gazipur, Kashimpur","Master of Science (MSc) in MIS,IT, Statistics
A Bachelor,s degree in Data Science, Statistics, ...",3 to 7 year(s),31 Aug 2023
Manager - Marketing,SAK Consumer Products Ltd,Mirpur 13,Bachelor of Business Administration (BBA) in MarketingMaster of Business Administration (MBA) in ...,7 to 9 year(s),31 Aug 2023
Pharmaceuticals Representatives (MR),CT Imaging Center Khulna Ltd,খুলনা,"1 to 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,o 2 year(s)
Manager - Law (Civil Law / Company Law / Criminal Law),Bangladesh Development Group/ Magura Group,Dhaka,Master of Law (LLM) in LawThose who have experience in the areas of Civil / Company / Criminal ...,5 to 9 year(s),31 Aug 2023
সিকিউরিটি গার্ড (উত্তরা অফিস),স্বনামধন্য বিদেশী গ্রুপ অফ কোম্পানীজ,ঢাকা,"Na
                                                        






 Deadline: 

31 Aug 2023",null,Na
ইলেক্ট্রো মেডিকেল টেকনোলজিস্ট,Spring Hill Hospital Ltd Faridpur,ফরিদপুর সদর,"3 to 7 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,o 7 year(s)
Executive - Programs & Activations,Bdjobs.com Limited,Dhaka,"0 to 1 year(s)
                                                        






 Deadline: 

31 Aug 2023",0 to 1 year(s),31 Aug 2023
DGM - Construction Management,CPDL,"Chattogram, Dhaka","At least 15 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 15 year(s),31 Aug 2023
"Junior Officer/ Officer, Merchandising (Bulk)",Amigo Bangladesh Ltd. (A Subsidiary of Crystal International Group),Kaliganj,Bachelor degree in any disciplineBSc In textile/Apparel merchandising will add advantage,2 to 5 year(s),31 Aug 2023
"Junior Officer/ Officer (Development), Merchandising Department",Amigo Bangladesh Ltd.,Kaliganj,Bachelor degree in any disciplineBSC in Textile/Apparel Merchandising from BTEX / BUFT will get ...,2 to 5 year(s),31 Aug 2023
Sr. Executive/ Asst. Manager - Property Feasibility and BD (Real-estate),RATUL PROPERTIES LIMITED,Gulshan,"4 to 6 year(s)
                                                        






 Deadline: 

31 Aug 2023",4 to 6 year(s),31 Aug 2023
"Executive, Distribution (Rupshi Foods Ltd)",City Group,Rupganj,Bachelor degree in any discipline,3 to 4 year(s),31 Aug 2023
Asst. Manager - Compliance,ACS Textiles (Bangladesh) Ltd.,Rupganj,MBA or Masters in any discipline,3 to 5 year(s),31 Aug 2023
Executive - Modern Trade,Hot & Crusty Bakeries Limited,Mohammadpur,Minimum BBA (Major in marketing will be preferred),At most 3 year(s),31 Aug 2023
Executive,Bangladesh Chemical & Dyestuff Manufacturers & Exporters Association.,Dhaka,Master in any discipline from a reputed university.,Na,31 Aug 2023
Designer - Design & Development,Pacific Jeans Limited,Chattogram,B.Sc in Fashion Design Technology from any reputed university.,2 to 5 year(s),31 Aug 2023
Sr. Merchandiser (Woven) who are Knit Based don`t apply,Liz Fashion Industry Ltd. (Bhaluka Unit),Bhaluka,Masters degree in any disciplineGraduate in Merchandising/Textiles will have preference,5 to 7 year(s),31 Aug 2023
Divisional Monitoring Head (DMH),Walton Digi-Tech Industries Ltd.,Anywhere in Bangladesh,B.Sc or Diploma in EEE/ECE/ETE/CSE/CS or relevant IT field,At least 2 year(s),31 Aug 2023
Head of Business Development,One of the leading Group of Companies,Dhaka,"Bachelor of Medicine and Bachelor of Surgery (MBBS),
Bachelor / Master degree from any reputed ...",At least 10 year(s),31 Aug 2023
ব্রাঞ্চ হিসাবরক্ষক,Christian Service Society (CSS),"ব্রাহ্মণবাড়িয়া, চাঁদপুর, চট্টগ্রাম, কুমিল্লা, ঢাকা, গাজীপুর, কিশোরগঞ্জ, লক্ষ্মীপুর, মুন্সিগঞ্জ, নরসিংদী",বিকম অথবা হিসাববিজ্ঞান /ম্যানেজমেন্ট/ফিন্যান্স/ ফিন্যান্স অ্যান্ড ব্যাংকিং এ স্নাতকোত্তর অথবা ...,Na,31 Aug 2023
Executive/ Sr. Executive IE,JK Group,Savar,Bachelor of Science (BSc) in Textile Technology,2 to 5 year(s),31 Aug 2023
Lecturer,Northern University Bangladesh,Dhaka,Masters degree in any discipline,Na,31 Aug 2023
"Manager, Product & Solution Design",Data Edge Limited,Baridhara,Graduate / Post-graduate in Science,At least 10 year(s),31 Aug 2023
Business Development Manager,Data Edge Limited,Baridhara,Post-graduate in Science / Business,At least 10 year(s),31 Aug 2023
Assistant Manager/ Dy. Manager - Accounts & MIS,Uttara Motors Ltd.,Dhaka,Master of Business Administration (MBA) in Accounting,At least 10 year(s),31 Aug 2023
Manager (Nandini Hotel),Karupannya Group,"Dhanmondi, Sukrabad",Bachelor of Business Administration (BBA) in MarketingGraduation/Diploma in Tourism and ...,At least 15 year(s),31 Aug 2023
A Renowned Secondary Real Estate Company,Gulshan,Bachelor Degree in any Discipline,7 to 10 year(s),null, 10 year(s)
A Renowned Secondary Real Estate Company,Gulshan,Bachelor Degree in any Discipline,1 to 3 year(s),null,o 3 year(s)
Trade and Investment Manager,British High Commission,Dhaka,Na,null,Na
mother`s care ™,Tejgaon,Diploma in Computer,2 to 5 year(s),null,o 5 year(s)
Front Desk Executive,Health Revolution,Aftabnagar,"2 to 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 5 year(s),31 Aug 2023
Head of Security & Safety (Eqv as GM/ DGM),Bangladesh Development Group/ Magura Group,Anywhere in Bangladesh,Bachelor degree in any discipline,At least 15 year(s),31 Aug 2023
Teacher for Physics & Maths,Touheed Academy,Dhanmondi,Bachelor of Science (BSc) in PhysicsBachelor of Science (BSc) in MathematicsBachelor of Science ...,1 to 2 year(s),31 Aug 2023
